V1,V2,V3,File,ROTATE_0
LABELS,84.2968139648,Grey Fox,Herpailurus yagouaroundi 2493-3.JPG,
LABELS,84.2968139648,Mammal,Herpailurus yagouaroundi 2493-3.JPG,
LABELS,84.2968139648,Red Wolf,Herpailurus yagouaroundi 2493-3.JPG,
LABELS,99.2270584106,Animal,IMG_0007.JPG,
LABELS,99.2270584106,Baboon,IMG_0007.JPG,
LABELS,99.2270584106,Mammal,IMG_0007.JPG,
LABELS,99.2270584106,Monkey,IMG_0007.JPG,
LABELS,88.4433898926,Canine,IMG_0007.JPG,
LABELS,88.4433898926,Coyote,IMG_0007.JPG,
LABELS,88.4433898926,Grey Fox,IMG_0007.JPG,
LABELS,88.4433898926,Red Wolf,IMG_0007.JPG,
LABELS,54.9162521362,Field,IMG_0007.JPG,
LABELS,99.0084075928,Animal,IMG_0008.JPG,
LABELS,99.0084075928,Baboon,IMG_0008.JPG,
LABELS,99.0084075928,Mammal,IMG_0008.JPG,
LABELS,99.0084075928,Monkey,IMG_0008.JPG,
LABELS,82.775718689,Field,IMG_0008.JPG,
LABELS,53.2864265442,Bush,IMG_0008.JPG,
LABELS,53.2864265442,Plant,IMG_0008.JPG,
LABELS,53.2864265442,Vegetation,IMG_0008.JPG,
LABELS,50.8765296936,Countryside,IMG_0008.JPG,
LABELS,50.8765296936,Outdoors,IMG_0008.JPG,
LABELS,50.8324966431,Soil,IMG_0008.JPG,
LABELS,95.1108551025,Animal,IMG_0009.JPG,
LABELS,95.1108551025,Baboon,IMG_0009.JPG,
LABELS,95.1108551025,Mammal,IMG_0009.JPG,
LABELS,95.1108551025,Monkey,IMG_0009.JPG,
LABELS,79.574798584,Grassland,IMG_0009.JPG,
LABELS,79.574798584,Outdoors,IMG_0009.JPG,
LABELS,79.574798584,Savanna,IMG_0009.JPG,
LABELS,55.5021362305,Bush,IMG_0009.JPG,
LABELS,55.5021362305,Plant,IMG_0009.JPG,
LABELS,55.5021362305,Vegetation,IMG_0009.JPG,
LABELS,54.2446022034,Canine,IMG_0009.JPG,
LABELS,54.2446022034,Coyote,IMG_0009.JPG,
LABELS,54.2446022034,Grey Fox,IMG_0009.JPG,
LABELS,54.2446022034,Red Wolf,IMG_0009.JPG,
LABELS,98.7681427002,Animal,IMG_0017.JPG,
LABELS,98.7681427002,Mammal,IMG_0017.JPG,
LABELS,98.7681427002,Zebra,IMG_0017.JPG,
LABELS,76.288772583,Tunnel,IMG_0017.JPG,
LABELS,99.1428756714,Animal,IMG_0018.JPG,
LABELS,99.1428756714,Mammal,IMG_0018.JPG,
LABELS,99.1428756714,Zebra,IMG_0018.JPG,
LABELS,58.15782547,Tunnel,IMG_0018.JPG,
LABELS,99.1001663208,Animal,IMG_0019.JPG,
LABELS,99.1001663208,Mammal,IMG_0019.JPG,
LABELS,99.1001663208,Zebra,IMG_0019.JPG,
LABELS,99.1479110718,Animal,IMG_0020.JPG,
LABELS,99.1479110718,Mammal,IMG_0020.JPG,
LABELS,99.1479110718,Zebra,IMG_0020.JPG,
LABELS,99.16771698,Animal,IMG_0021.JPG,
LABELS,99.16771698,Mammal,IMG_0021.JPG,
LABELS,99.16771698,Zebra,IMG_0021.JPG,
LABELS,99.250038147,Animal,IMG_0022.JPG,
LABELS,99.250038147,Mammal,IMG_0022.JPG,
LABELS,99.250038147,Zebra,IMG_0022.JPG,
LABELS,52.8509025574,Grassland,IMG_0022.JPG,
LABELS,52.8509025574,Outdoors,IMG_0022.JPG,
LABELS,52.8509025574,Savanna,IMG_0022.JPG,
LABELS,52.2120285034,Soil,IMG_0022.JPG,
LABELS,50.9856300354,Field,IMG_0022.JPG,
LABELS,50.8900642395,Ground,IMG_0022.JPG,
LABELS,99.3045501709,Animal,IMG_0023.JPG,
LABELS,99.3045501709,Mammal,IMG_0023.JPG,
LABELS,99.3045501709,Zebra,IMG_0023.JPG,
LABELS,55.3519668579,Grassland,IMG_0023.JPG,
LABELS,55.3519668579,Outdoors,IMG_0023.JPG,
LABELS,55.3519668579,Savanna,IMG_0023.JPG,
LABELS,50.8544845581,Soil,IMG_0023.JPG,
LABELS,50.8196716309,Bush,IMG_0023.JPG,
LABELS,50.8196716309,Plant,IMG_0023.JPG,
LABELS,50.8196716309,Vegetation,IMG_0023.JPG,
LABELS,82.365486145,Animal,IMG_0024.JPG,
LABELS,82.365486145,Antelope,IMG_0024.JPG,
LABELS,82.365486145,Gazelle,IMG_0024.JPG,
LABELS,82.365486145,Impala,IMG_0024.JPG,
LABELS,74.4381256104,Bunny,IMG_0024.JPG,
LABELS,74.4381256104,Mammal,IMG_0024.JPG,
LABELS,74.4381256104,Rabbit,IMG_0024.JPG,
LABELS,74.4381256104,Rodent,IMG_0024.JPG,
LABELS,61.8239097595,Countryside,IMG_0024.JPG,
LABELS,61.8239097595,Grassland,IMG_0024.JPG,
LABELS,61.8239097595,Grazing,IMG_0024.JPG,
LABELS,61.8239097595,Outdoors,IMG_0024.JPG,
LABELS,61.8239097595,Pasture,IMG_0024.JPG,
LABELS,61.8239097595,Ranch,IMG_0024.JPG,
LABELS,99.0525283813,Animal,IMG_0025.JPG,
LABELS,99.0525283813,Mammal,IMG_0025.JPG,
LABELS,99.0525283813,Zebra,IMG_0025.JPG,
LABELS,99.1802978516,Animal,IMG_0026.JPG,
LABELS,99.1802978516,Mammal,IMG_0026.JPG,
LABELS,99.1802978516,Zebra,IMG_0026.JPG,
LABELS,51.4022636414,Soil,IMG_0026.JPG,
LABELS,51.1915206909,Grassland,IMG_0026.JPG,
LABELS,51.1915206909,Outdoors,IMG_0026.JPG,
LABELS,51.1915206909,Savanna,IMG_0026.JPG,
LABELS,99.2211456299,Animal,IMG_0027.JPG,
LABELS,99.2211456299,Mammal,IMG_0027.JPG,
LABELS,99.2211456299,Zebra,IMG_0027.JPG,
LABELS,51.3236923218,Soil,IMG_0027.JPG,
LABELS,99.1160125732,Animal,IMG_0028.JPG,
LABELS,99.1160125732,Mammal,IMG_0028.JPG,
LABELS,99.1160125732,Zebra,IMG_0028.JPG,
LABELS,99.2024154663,Animal,IMG_0091.JPG,
LABELS,99.2024154663,Mammal,IMG_0091.JPG,
LABELS,99.2024154663,Zebra,IMG_0091.JPG,
LABELS,99.0967178345,Animal,IMG_0092.JPG,
LABELS,99.0967178345,Mammal,IMG_0092.JPG,
LABELS,99.0967178345,Zebra,IMG_0092.JPG,
LABELS,97.0486602783,Animal,IMG_0093.JPG,
LABELS,97.0486602783,Mammal,IMG_0093.JPG,
LABELS,97.0486602783,Zebra,IMG_0093.JPG,
LABELS,99.1451187134,People,IMG_0094.JPG,
LABELS,99.1451187134,Person,IMG_0094.JPG,
LABELS,99.1257553101,Human,IMG_0094.JPG,
LABELS,59.550868988,Ct Scan,IMG_0094.JPG,
LABELS,59.550868988,X-Ray,IMG_0094.JPG,
LABELS,53.7126121521,Apparel,IMG_0094.JPG,
LABELS,53.7126121521,Clothing,IMG_0094.JPG,
LABELS,96.469078064,Animal,IMG_0095.JPG,
LABELS,96.469078064,Mammal,IMG_0095.JPG,
LABELS,96.469078064,Zebra,IMG_0095.JPG,
LABELS,84.8417816162,Ct Scan,IMG_0095.JPG,
LABELS,84.8417816162,X-Ray,IMG_0095.JPG,
LABELS,89.8008728027,Animal,IMG_0096.JPG,
LABELS,89.8008728027,Mammal,IMG_0096.JPG,
